"Year","Ratings","Genre","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments","Followers","Gross"
2014,6.3,8,4e+06,45,1,0,3280543,4632,425,636,1120000,9130
2014,7.1,1,5e+07,3306,2,2,583289,3465,61,186,12350000,1.92e+08
2014,6.2,1,2.8e+07,2872,1,0,304861,328,34,47,483000,30700000
2014,6.3,1,1.1e+08,3470,2,0,452917,2429,132,590,568000,1.06e+08
2014,4.7,8,3500000,2310,2,0,3145573,12163,610,1082,1923800,17300000
2014,4.6,3,5e+05,1491.36991749696,1,0,91137,112,7,1,310000,29000
2014,6.1,8,4e+07,3158,1,0,3013011,9595,419,1020,8153000,42600000
2014,7.1,1,2e+07,818,1,2,1854103,2207,197,593,130655,5750000
2014,6.5,10,2.8e+07,2714,1,3,2213659,2210,419,382,125646,2.6e+07
2014,6.1,8,12500000,2253,1,0,5218079,11709,532,770,21697300,48600000
2014,7.3,1,58800000,3555,1,4,3927600,13143,573,3134,24300,3.5e+08
2014,5.7,8,3e+07,1762,1,0,519327,963,94,70,386400,15200000
2014,5.4,15,6500000,3185,1,0,19032902,38810,4382,4392,19420105,84300000
2014,5.2,8,6.5e+07,3116,1,0,930006,5150,707,1484,5130800,85900000
2014,4.4,3,5e+06,65,3,0,595194,85,36,39,15112,830000
2014,6.6,8,6e+06,18,1,2,3915978,6983,247,460,253000,11800
2014,6.3,8,5e+06,25,1,0,1391527,2479,146,182,1658900,72300
2014,6.9,3,7e+06,31,1,0,1828235,7633,235,685,116100,14600000
2014,7.9,12,1.65e+08,3761,1,29,4700023,14163,538,1293,199800,2.22e+08
2014,6.6,3,9e+06,1823,1,-1,1348142,4404,307,1033,888000,21600000
2014,6.5,8,4e+07,3555,1,-2,7977747,18690,1940,2214,2417000,46300000
2014,8,3,4e+06,771,1,9,1671367,4572,207,741,105000,25400000
2014,5.7,1,2.8e+07,2647,1,0,2088644,6633,255,1235,3209000,20300000
2014,6.5,3,7e+06,482,1,2,4398243,9202,454,1150,4769100,1870000
2014,7,3,1e+06,1051.41160579082,1,3,7128,1,0,0,2182,9840
2014,6.7,9,3e+06,382,1,3,2902492,9522,558,2296,1052600,6370000
2014,7.8,1,1.7e+08,3938,2,5,760262,2918,66,837,8030000,2.6e+08
2014,7.7,1,1.7e+08,3967,2,-4,1735700,6772,187,889,114000,2.09e+08
2014,6.2,10,3e+07,97,1,0,465219,1348,72,162,744600,30500000
2014,4,15,7e+06,2544,1,0,1844690,3728,581,729,9536,15800000
2014,6.8,2,8.5e+07,3936,1,-4,463866,3400,152,987,1030000,1.51e+08
2014,6.4,3,3.6e+07,3376,2,-1,384448,1230,129,228,276750,4.2e+07
2014,6.3,1,7e+07,2340.08523770657,1,0,9149892,26427,1342,5278,395500,55900000
2014,6.8,3,2.7e+07,2781,1,0,522630,1248,153,227,147000,28800000
2014,5.8,8,3.5e+07,3154,3,0,3287020,7698,446,1122,17064000,86200000
2014,5.8,2,1.3e+07,3230,1,0,1488038,2571,553,643,88586,38900000
2014,7.9,1,1.78e+08,3490,1,0,15568277,29251,1730,6439,5610000,1e+08
2014,6.3,3,2e+07,2800,1,1,11850723,24226,1343,2577,21500,23400000
2014,5.7,1,4500000,1363.44618198519,1,0,735551,636,98,92,1060000,8690
2014,7.1,9,2.4e+07,66,1,6,6685088,8369,467,1580,13720000,1210000
2014,7.6,1,6.8e+07,3313,1,3,2276605,3946,331,1286,1888000,85700000
2014,6.4,3,1850000,8,1,-4,1034480,6490,181,374,66600,102000
2014,5,3,2e+06,780,1,0,456564,1706,413,890,412000,60800000
2014,6.1,10,1e+06,3,1,0,99427,47,10,12,1052600,104000
2014,6.5,1,1.6e+08,3952,1,2,1156609,2968,112,547,1870000,2.01e+08
2014,8.2,3,6.1e+07,3014,1,-11,396010,1390,58,342,20640000,1.68e+08
2014,8.1,1,1.7e+08,4080,1,0,1313548,8567,269,1285,2750000,3.33e+08
2014,5.6,8,70000,9,1,0,924347,1406,107,132,5887700,30100
2014,5.8,3,1.2e+07,2417,1,-9,175017,461,34,133,1052600,91400000
2014,6.1,1,1e+08,3595,1,-2,9324678,15479,1130,3925,9414000,72700000
2014,6.3,8,4.2e+07,93,2,-1,1292235,5284,124,362,1650000,54400000
2014,7.9,12,1.45e+08,4253,2,3,11472161,22779,862,2863,671000,1.77e+08
2014,6.8,3,1.1e+07,1272,1,14,9222933,41728,924,3609,1800000,50500000
2014,6.1,3,8932779.93,6,1,0,8210,6,0,0,58900,275000
2014,6.7,8,2e+07,645,1,1,1167941,2651,82,797,1052600,8090000
2014,8.7,2,1.65e+08,3561,1,2,5421705,16635,751,4316,1865000,1.88e+08
2014,5.8,1,5e+07,3434,1,0,4270410,8886,569,3058,301000,47600000
2014,6,2,5e+07,2440,1,-4,817242,4391,112,346,4720000,1.28e+08
2014,6.9,15,2e+06,4,1,-9,4877,6,1,1,1052600,14700000
2014,6.2,1,6e+07,3387,5,4,3320754,4322,347,1105,147000,50500000
2014,6.9,9,4e+07,2905,1,10,1438350,4028,133,543,27323,4.7e+07
2014,7.2,1,2e+07,2589,1,0,4846645,14722,405,2732,1052600,4.3e+07
2014,7,9,5e+06,374,1,0,3650720,6917,234,1119,1045200,2450000
2014,7.8,1,8.1e+07,3204,1,0,2767873,46023,944,6946,5407000,1.28e+08
2014,6.5,1,2.5e+07,28,1,-2,289922,143,17,9,1052600,129000
2014,3.1,1,1.6e+07,1825,1,0,5611593,11187,2111,7595,116800,1.4e+07
2014,6.5,8,1.7e+07,1534,1,-5,4450824,7315,546,909,2356000,82400000
2014,5.7,8,2400000,1413.52408881298,1,0,1222921,5553,193,335,1463000,8300
2014,4.8,7,3e+05,3,1,0,30529,18,4,2,18100,2470
2014,6.4,1,4e+07,3173,1,1,1142964,2346,167,311,1052600,1.27e+08
2014,7,1,1.8e+08,3948,1,0,557012,3528,135,464,5633,2.41e+08
2014,6.3,8,1.5e+07,66,1,0,177465,595,39,71,644000,348000
2014,7.1,9,2.5e+07,3019,1,27,1470438,4314,168,511,130000,36400000
2014,5.4,8,5e+06,1044,1,0,667852,469,38,44,919000,10400000
2014,6.9,12,1.45e+08,3934,1,13,277848,890,45,88,8839043,1.12e+08
2014,6.5,2,5e+07,3194,3,-1,3037329,6696,564,1061,9850000,51200000
2014,6.3,8,5e+06,255,1,0,446576,659,50,45,1052600,4010000
