"cylinders","displacement","horsepower","weight","acceleration","modelYear","origin","dataw...2."
3,250,88,3302,15.5,2,1,19
2,98,70,2120,15.5,11,1,32.1
4,304,193,4732,18.5,1,1,9
2,91,67,1850,13.8,11,3,44.6
4,400,190,4422,12.5,3,1,13
3,232,100,3288,15.5,2,1,18
2,98,68,2135,16.6,9,3,29.5
4,429,208,4633,11,3,1,11
3,173,115,2700,12.9,10,1,26.8
4,305,145,3425,13.2,9,1,19.2
2,156,105,2745,16.7,9,1,23.2
2,89,60,1968,18.8,11,3,38.1
2,90,48,2085,21.7,11,2,44.3
3,250,100,3781,17,5,1,16
4,350,105,3725,19,12,1,26.6
3,163,133,3410,15.8,9,2,16.2
2,105,63,2125,14.7,13,1,38
4,302,140,4294,16,3,1,13
3,258,120,3410,15.1,9,1,18.1
2,116,90,2123,14,2,2,28
2,151,90,2556,13.2,10,1,33.5
4,440,215,4312,8.5,1,1,14
4,383,180,4955,11.5,2,1,12
2,156,92,2620,14.4,12,1,25.8
2,97.5,80,2126,17,3,1,25
4,318,140,4080,13.7,9,1,17.5
4,400,170,4668,11.5,6,1,16
2,135,84,2295,11.6,13,1,32
3,200,85,2587,16,1,1,21
2,151,84,2635,16.4,12,1,26.6
2,114,91,2582,14,4,2,20
2,76,52,1649,16.5,5,3,31
4,351,149,4335,14.5,8,1,16
2,85,65,2110,19.2,11,3,40.8
2,86,65,2019,16.4,11,3,37.2
2,89,62,1845,15.3,11,2,29.8
3,225,100,3651,17.7,7,1,20
2,97,67,2145,18,11,3,33.8
4,318,135,3830,15.2,10,1,18.2
3,232,100,2945,16,4,1,18
4,350,165,3693,11.5,1,1,15
3,225,110,3360,16.6,10,1,20.6
2,151,90,2678,16.5,11,1,28
2,116,75,2246,14,5,2,26
3,146,120,2930,13.8,12,3,24.2
4,400,180,4220,11.1,8,1,16
2,140,106.345360824742,2905,14.3,11,1,23.6
2,107,75,2205,14.5,13,3,36
2,104,95,2375,17.5,1,2,25
4,302,139,3205,11.2,9,1,18.1
2,97,60,1834,19,2,2,27
2,121,80,2670,15,10,1,27.4
