"season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","dataw...2."
2,2,6,5,1,4,1,2,24.6,31.06,56,16.9979,40
3,2,6,19,1,5,1,2,31.16,34.85,55,35.0008,362
2,2,5,19,1,1,1,1,27.06,31.06,69,6.0032,448
4,2,10,3,1,0,0,2,20.5,24.24,63,22.0028,79
3,2,9,1,1,3,1,2,22.14,25.76,68,16.9979,12
2,1,4,10,1,3,1,2,16.4,20.455,87,12.998,46
4,1,12,15,1,5,1,1,15.58,19.695,46,19.0012,189
2,2,4,12,1,1,1,1,18.04,21.97,44,30.0026,281
2,1,4,2,1,1,1,1,15.58,19.695,66,16.9979,2
3,2,8,6,1,6,0,2,25.42,28.03,88,7.0015,23
1,1,1,16,1,6,0,1,4.92,6.82,28,12.998,83
4,2,12,1,1,6,0,2,14.76,17.425,93,8.9981,100
1,2,2,20,1,6,0,1,18.04,21.97,44,11.0014,148
2,1,4,9,1,0,0,2,15.58,19.695,94,8.9981,81
1,2,1,18,1,4,1,1,18.04,21.97,67,12.998,421
1,1,3,13,1,6,0,2,18.86,22.725,67,19.0012,190
4,2,11,12,1,1,1,1,17.22,21.21,35,7.0015,210
2,1,3,13,1,3,1,2,14.76,17.425,46,15.0013,98
3,2,7,20,1,5,1,1,31.98,37.12,59,7.0015,354
3,1,8,3,1,1,1,1,28.7,33.335,79,11.0014,4
1,2,12,6,2,2,0,2,9.02,11.365,93,8.9981,7
3,1,6,0,1,5,1,1,27.88,31.82,79,12.998,63
4,1,10,14,1,4,1,2,19.68,23.485,48,36.9974,155
3,1,9,10,1,6,0,2,20.5,24.24,68,19.0012,249
3,2,8,16,1,4,1,1,33.62,37.88,46,12.998,406
2,2,4,18,1,5,1,1,20.5,24.24,22,31.0009,484
1,1,2,19,1,1,1,1,15.58,19.695,43,32.9975,98
4,1,10,1,1,6,0,3,12.3,13.635,87,19.9995,18
3,1,9,15,1,6,0,1,29.52,34.09,70,11.0014,388
3,1,9,20,1,4,1,1,27.06,31.06,61,15.0013,280
4,1,11,15,1,1,1,1,23.78,27.275,60,11.0014,150
1,1,1,5,1,6,0,1,6.56,11.365,59,0,1
3,1,8,20,1,0,0,1,29.52,35.605,84,8.9981,183
1,1,2,22,1,4,1,1,20.5,24.24,59,19.0012,76
4,2,10,14,1,3,1,2,22.96,26.515,43,11.0014,270
2,1,6,4,1,6,0,1,27.88,31.82,79,6.0032,13
2,2,5,9,1,4,1,1,27.06,31.06,47,16.9979,311
2,2,3,10,1,5,1,2,14.76,18.18,57,7.0015,187
2,2,3,16,1,6,0,2,20.5,24.24,63,19.9995,535
2,1,4,7,1,1,1,2,20.5,24.24,88,15.0013,176
2,2,5,15,1,3,1,1,29.52,33.335,51,8.9981,275
1,1,3,23,1,1,1,1,11.48,15.91,48,0,22
2,2,4,14,1,2,1,1,22.14,25.76,24,12.998,224
2,2,4,10,1,4,1,2,18.86,22.725,94,11.0014,139
1,1,2,3,1,3,1,1,2.46,3.79,45,8.9981,2
2,1,5,14,1,3,1,2,23.78,27.275,78,19.0012,138
2,1,5,7,1,3,1,1,25.42,29.545,73,8.9981,313
2,2,3,21,1,2,1,1,14.76,17.425,37,11.0014,221
1,1,2,14,1,3,1,1,8.2,9.09,34,19.9995,58
4,2,10,22,1,1,1,1,18.86,22.725,82,8.9981,183
4,1,10,3,1,0,0,3,13.94,15.91,87,19.0012,9
3,2,9,12,1,3,1,1,31.98,38.635,70,7.0015,266
4,2,10,15,1,0,0,3,17.22,21.21,77,8.9981,306
4,1,11,9,1,3,1,3,18.86,22.725,94,0,82
1,2,1,13,1,0,0,1,8.2,9.09,34,19.0012,224
3,1,9,13,1,0,0,2,31.98,37.12,62,19.0012,419
1,1,1,17,1,1,1,1,5.74,6.06,50,16.9979,184
2,2,4,12,1,6,0,1,26.24,31.06,57,15.0013,640
1,2,1,2,1,0,0,1,11.48,12.88,26,22.0028,51
1,1,1,20,1,6,0,2,13.12,15.15,39,16.9979,41
3,2,6,4,1,2,1,1,22.14,25.76,45,19.9995,10
2,1,6,5,1,1,1,1,22.96,26.515,88,6.0032,31
2,1,4,23,1,2,1,2,16.4,20.455,94,16.9979,39
2,1,4,14,1,4,1,1,22.96,26.515,43,6.0032,157
1,1,12,18,1,3,1,2,18.04,21.97,100,19.9995,280
2,2,5,4,1,4,1,1,25.42,30.305,69,0,8
1,1,3,12,1,6,0,2,18.04,21.97,67,16.9979,167
3,1,7,3,1,4,1,2,30.34,35.605,79,8.9981,6
4,2,10,6,1,1,1,2,22.96,26.515,73,19.9995,147
1,2,2,16,1,3,1,3,16.4,20.455,82,15.0013,167
2,2,6,4,1,0,0,1,22.14,25.76,64,6.0032,18
3,2,7,0,1,0,0,1,27.06,29.545,89,8.9981,188
2,1,6,0,1,4,1,1,24.6,31.06,56,7.0015,47
4,1,12,14,1,2,1,2,18.04,21.97,58,7.0015,138
3,1,8,4,1,2,1,1,22.14,25.76,56,11.0014,5
1,1,1,4,1,0,0,1,10.66,12.88,56,11.0014,1
3,1,7,13,1,5,1,1,38.54,41.665,31,0,156
4,1,11,13,1,6,0,1,19.68,23.485,44,0,325
3,1,7,2,1,2,1,1,29.52,34.09,70,11.0014,13
3,2,8,19,1,2,1,3,25.42,29.545,73,7.0015,476
1,1,2,22,1,2,1,1,6.56,7.575,43,16.9979,77
2,2,4,19,1,2,1,1,22.96,26.515,26,7.0015,558
2,2,6,1,1,5,1,1,23.78,27.275,78,12.998,51
1,1,3,17,1,3,1,1,20.5,24.24,23,19.0012,268
2,2,5,23,1,5,1,1,22.14,25.76,37,12.998,180
4,1,12,15,1,6,0,1,13.94,15.15,34,23.9994,299
1,1,1,22,1,4,1,1,7.38,10.605,74,6.0032,27
3,1,7,7,1,6,0,1,27.06,30.305,78,12.998,71
4,2,11,16,1,1,1,1,14.76,16.665,43,19.0012,360
4,1,11,11,1,1,1,2,21.32,25,83,7.0015,128
3,1,6,9,1,3,1,1,29.52,32.575,45,26.0027,221
2,2,4,9,1,0,0,1,18.04,21.97,26,15.0013,179
3,2,6,18,1,1,1,1,31.16,33.335,27,30.0026,791
3,1,7,4,1,4,1,1,25.42,31.06,53,16.9979,6
2,1,4,12,1,6,0,2,14.76,17.425,81,8.9981,202
